Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","256","Luxembourg","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","106805.768781","Fc","Donnée calculée",""
"MK","Indicateurs macro","154","Macédoine du Nord","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","5414.618796","Fc","Donnée calculée",""
"MK","Indicateurs macro","129","Madagascar","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","516.540042","Fc","Donnée calculée",""
"MK","Indicateurs macro","131","Malaisie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","9951.449559","Fc","Donnée calculée",""
"MK","Indicateurs macro","130","Malawi","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","340.417089","Fc","Donnée calculée",""
"MK","Indicateurs macro","132","Maldives","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","11151.092028","Fc","Donnée calculée",""
"MK","Indicateurs macro","133","Mali","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","821.693529","Fc","Donnée calculée",""
"MK","Indicateurs macro","134","Malte","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","29136.967918","Fc","Donnée calculée",""
"MK","Indicateurs macro","143","Maroc","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","3069.671013","Fc","Donnée calculée",""
"MK","Indicateurs macro","137","Maurice","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","10564.912597","Fc","Donnée calculée",""
"MK","Indicateurs macro","136","Mauritanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1129.389152","Fc","Donnée calculée",""
"MK","Indicateurs macro","138","Mexique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","8967.170167","Fc","Donnée calculée",""
"MK","Indicateurs macro","145","Micronésie (États fédérés de)","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","3187.557161","Fc","Donnée calculée",""
"MK","Indicateurs macro","140","Monaco","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","165420.989472","Fc","Donnée calculée",""
"MK","Indicateurs macro","141","Mongolie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","3620.391806","Fc","Donnée calculée",""
"MK","Indicateurs macro","273","Monténégro","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","7702.566373","Fc","Donnée calculée",""
"MK","Indicateurs macro","142","Montserrat","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","11581.854213","Fc","Donnée calculée",""
"MK","Indicateurs macro","144","Mozambique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","426.438077","Fc","Donnée calculée",""
"MK","Indicateurs macro","28","Myanmar","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1257.281029","Fc","Donnée calculée",""
"MK","Indicateurs macro","147","Namibie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","5227.179824","Fc","Donnée calculée",""
"MK","Indicateurs macro","148","Nauru","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","10045.377371","Fc","Donnée calculée",""
"MK","Indicateurs macro","149","Népal","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","848.668341","Fc","Donnée calculée",""
"MK","Indicateurs macro","157","Nicaragua","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","2221.781208","Fc","Donnée calculée",""
"MK","Indicateurs macro","158","Niger","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","378.072121","Fc","Donnée calculée",""
"MK","Indicateurs macro","159","Nigéria","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1968.552472","Fc","Donnée calculée",""
"MK","Indicateurs macro","162","Norvège","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","75295.256424","Fc","Donnée calculée",""
"MK","Indicateurs macro","153","Nouvelle-Calédonie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","35815.485715","Fc","Donnée calculée",""
"MK","Indicateurs macro","156","Nouvelle-Zélande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","42934.984819","Fc","Donnée calculée",""
"MK","Indicateurs macro","221","Oman","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","15267.420756","Fc","Donnée calculée",""
"MK","Indicateurs macro","226","Ouganda","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","646.217765","Fc","Donnée calculée",""
"MK","Indicateurs macro","235","Ouzbékistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1556.759169","Fc","Donnée calculée",""
"MK","Indicateurs macro","165","Pakistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1533.578723","Fc","Donnée calculée",""
"MK","Indicateurs macro","180","Palaos","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","13417.276451","Fc","Donnée calculée",""
"MK","Indicateurs macro","299","Palestine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","2946.334726","Fc","Donnée calculée",""
"MK","Indicateurs macro","166","Panama","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","15087.681642","Fc","Donnée calculée",""
"MK","Indicateurs macro","168","Papouasie-Nouvelle-Guinée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","2666.997412","Fc","Donnée calculée",""
"MK","Indicateurs macro","169","Paraguay","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","4321.507205","Fc","Donnée calculée",""
"MK","Indicateurs macro","150","Pays-Bas","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","48754.146608","Fc","Donnée calculée",""
"MK","Indicateurs macro","170","Pérou","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","6572.354968","Fc","Donnée calculée",""
"MK","Indicateurs macro","171","Philippines","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","2988.95153","Fc","Donnée calculée",""
"MK","Indicateurs macro","173","Pologne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","13785.748978","Fc","Donnée calculée",""
