Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2482","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","43.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","807","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","50.99","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2701","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","43.68","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1067","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","57.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2204","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","41.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","495","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2619","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","50.06","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","137","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","14.39","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","1881","Fc","Donnée calculée"
